Category,Mode,Word Count,Sentence Count,Syllable Count,Flesch Reading Ease,Flesch-Kincaid Grade,Readability Title
"Academic (Neural Nets/Deep Learning)",Original,34,1,80,-26.73,25.43,"Very Confusing (Graduate level)"
"Academic (Neural Nets/Deep Learning)",Grade 5,40,3,57,72.75,6.43,"Fairly Easy (7th Grade)"
"Academic (Neural Nets/Deep Learning)",Balanced,34,3,62,41.06,10.35,"Difficult (College level)"
"Academic (Neural Nets/Deep Learning)",Executive,30,2,69,-2.97,17.4,"Very Confusing (Graduate level)"
"Legal/Corporate Clause",Original,35,2,66,29.54,13.49,"Very Confusing (Graduate level)"
"Legal/Corporate Clause",Grade 5,29,2,39,78.35,5.93,"Fairly Easy (7th Grade)"
"Legal/Corporate Clause",Balanced,29,2,43,66.68,7.56,"Standard (8th-9th Grade)"
"Legal/Corporate Clause",Executive,33,2,56,46.52,10.87,"Difficult (College level)"
"Medical Translation",Original,21,1,60,-56.19,26.31,"Very Confusing (Graduate level)"
"Medical Translation",Grade 5,22,2,31,76.46,5.33,"Fairly Easy (7th Grade)"
"Medical Translation",Balanced,23,2,39,51.71,8.9,"Fairly Difficult (10th-12th Grade)"
"Medical Translation",Executive,18,1,43,-13.53,19.62,"Very Confusing (Graduate level)"
